# DiscordGuard Scraped Raw Data
# ============================================================
# THIS FILE IS AUTO-GENERATED. DO NOT EDIT MANUALLY.
#
# Regenerate by running: python scripts/scraper.py
# Compile into JSON:     python scripts/compile-lists.py --target <profile>
# ============================================================
! BEGIN SCRAPED
! Scraped: 2026-03-09T07:25:12Z
! Source: disboard.org
! Tags scraped (hard-blocked): nsfw, adult, 18+, hentai, gore, explicit, porn, lewd, erotic, xxx, ai-girlfriend, ai-boyfriend, ai-companion, ai-roleplay, ai-chat, ai-waifu, virtual-girlfriend, virtual-companion, character-ai, replika, ai-romance, ai-dating, ai-relationship, companionship, ai-friend
! Tags scraped (teen-flagged): mature, suggestive, dating, relationship, artificial-intelligence, ai, chatgpt, claude, llm, generative-ai, ai-generated, ai-art, stable-diffusion, midjourney, ai-tools
! Total servers: 576
!
! SECTION hard-blocked
! Servers from hard-blocked tags — included in child-safe and family-safe lists
||server:1004711361210753044  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1004713095819706448  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1011845665086775296  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1013729668928634900  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1065858135513911296  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1073277651877371955  ! name: unknown | tags: adult | source_tag: nsfw
||server:1087555015117377574  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1103964393613578265  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1106069080668110888  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1116601136879779881  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1121424300826705950  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1123245955064541215  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1137482540890988724  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1151528743874068551  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1155506800989311119  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1164653071167672320  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1167945997838721255  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1174637915926712371  ! name: unknown | tags: nsfw | source_tag: nsfw
